delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99958339,0.0013586795,109.99427,1.5865174e-05,0.0090307573,1.1933445e-06,0.24443916,-2.9337541e-05,-4.0654625e-05,165.07686,-0.019046143,163.97329,-0.025377662,0.060691818,0.015219033,-0.019916107,-4.6727574,-21.541566,-6.435013,-22.1353
1.9966683,0.013839981,109.9882,0.00043928423,0.095548589,3.3268954e-05,0.54997369,0.000526017,0.00049357379,701.9434,-0.5478051,694.9234,-0.56690145,0.25825575,0.064776107,-0.014260531,83.128351,-26.484076,77.22657,-30.869592
2.9887626,0.043766575,109.98355,0.0023641951,0.31512123,0.00017940295,0.85549725,0.0012060666,0.0011317132,1387.5987,-2.6174475,1377.9824,-2.6487615,0.51369974,0.12818097,-0.012081627,150.66142,-25.03814,140.39279,-35.951879
3.9733866,0.090382316,109.97902,0.0072324062,0.68481721,0.00054846091,1.1610121,0.0021560785,0.0019550387,2047.487,-6.9196875,2056.529,-7.021603,0.77346463,0.18992889,-0.013744954,199.54772,-21.498173,181.83716,-40.264979
4.9480792,0.14835959,109.97351,0.016518038,1.1943333,0.0012469,1.4665162,0.0033956923,0.0030478455,2556.1511,-13.1598,2622.1625,-13.580113,0.99224421,0.2391811,-0.017612037,235.58879,-17.240303,217.07728,-43.958716
5.9104041,0.20966121,109.96652,0.031452214,1.8067009,0.0023573778,1.7720053,0.0049875552,0.0043208483,2848.9912,-19.868133,3012.09,-21.208638,1.1312113,0.27017084,-0.022031195,267.30164,-13.314845,245.02806,-46.726336
6.8579561,0.26667488,109.9581,0.05283795,2.4779126,0.0039281801,2.0774739,0.0068614828,0.0057991844,2960.5975,-25.077277,3247.3113,-27.947898,1.2017798,0.28569398,-0.025951403,292.64097,-10.315597,271.46084,-48.522022
7.7883668,0.31427839,109.94849,0.081088986,3.1756165,0.0059782021,2.3829173,0.00908648,0.0075283958,2961.6185,-27.042051,3380.6375,-31.405183,1.2279029,0.29171083,-0.029092633,315.94994,-8.1913546,298.97367,-49.57063
8.6993107,0.34977791,109.93792,0.11636226,3.8801666,0.0085080968,2.6883317,0.011664891,0.0094584117,2909.279,-24.57197,3456.6606,-29.302655,1.2280806,0.29308815,-0.031762522,337.43583,-6.7002144,325.2606,-50.022935
9.5885108,0.3720198,109.92651,0.15866293,4.5799884,0.011509167,2.9937136,0.014515469,0.011535044,2834.5076,-17.072493,3496.5532,-19.991444,1.2125371,0.29231772,-0.034197983,355.44676,-5.640703,348.62365,-49.905997
10.453745,0.38066941,109.91434,0.20790461,5.2678537,0.0149687,3.2990598,0.017599965,0.013752553,2754.5225,-4.4064363,3511.2151,-2.9515692,1.1870767,0.29072793,-0.036477908,370.56784,-4.886633,369.31209,-49.407081
11.292849,0.3758354,109.90143,0.26394136,5.9388437,0.018872826,3.6043674,0.020904195,0.016094893,2677.7974,13.289013,3507.2099,22.108388,1.1540332,0.289022,-0.038672253,383.84495,-4.3495996,387.31201,-49.543996
12.103728,0.35791407,109.88781,0.32658469,6.5892557,0.023207927,3.9096334,0.024365258,0.018536306,2608.0334,35.719049,3490.7175,56.120585,1.1155439,0.28768228,-0.040728815,395.25638,-3.9986504,402.7372,-48.76201
12.884354,0.32749682,109.87351,0.3956154,7.2165811,0.027961423,4.2148545,0.027940702,0.021069276,2546.5045,62.530094,3468.7937,98.227713,1.0737035,0.28704351,-0.042690464,405.30664,-3.7860526,416.63297,-47.906747
13.632775,0.28531386,109.85852,0.47079386,7.8191304,0.03312226,4.5200278,0.031610625,0.02366433,2492.391,93.32485,3448.1249,148.27319,1.0293325,0.28735582,-0.044587876,414.56252,-3.6700327,429.72514,-47.295953
14.347122,0.23220465,109.84284,0.55186693,8.3958226,0.038681147,4.8251498,0.035319111,0.02627099,2445.975,127.6713,3432.993,206.05429,0.98347846,0.28879347,-0.046462823,422.93493,-3.6184638,441.97043,-46.764606
15.025608,0.16904595,109.82644,0.63857339,8.9459612,0.044630644,5.1302172,0.039023157,0.028859937,2406.2297,165.00176,3424.1385,270.76264,0.93676123,0.29127776,-0.048321017,430.43466,-3.6102935,453.51939,-46.184569
15.666538,0.096689127,109.80931,0.73064689,9.4693524,0.050964976,5.4352267,0.04270222,0.031400538,2376.5137,204.13596,3427.2694,340.9878,0.89153408,0.29511078,-0.050218641,438.06302,-3.6250878,465.17113,-45.529929
16.26831,0.01629743,109.79137,0.82783053,9.9680312,0.05768067,5.7401747,0.046273915,0.033818278,2360.5355,245.33259,3445.1753,417.15456,0.848748,0.30061453,-0.052235573,446.30354,-3.6016073,476.77117,-44.863026
16.82942,-0.071388043,109.7726,0.92987931,10.441537,0.064776691,6.0450578,0.049705205,0.03610841,2346.5229,288.09628,3461.3013,498.8388,0.80366755,0.30643214,-0.054213231,453.20384,-3.5855214,486.47659,-44.204809
