delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-0.0078223762,79.996821,-0.00013550369,-0.052125027,-1.0321557e-05,0.17777547,-0.00015523169,-0.00012400019,-581.80717,0.20027579,-589.39138,0.1942953,-0.21555329,-0.054092839,-0.01494592,-23.99595,-24.340815,-19.423369,-20.700874
-2,-0.03327022,79.991906,-0.0014601867,-0.23036939,-0.00011171764,0.39998354,0.00015458865,0.00021851687,-1060.1925,1.9564995,-1063.0661,1.9194897,-0.39192001,-0.098099378,-0.012173094,21.093213,-31.045996,29.914451,-21.632666
-2,-0.067742092,79.988228,-0.0050004519,-0.4886974,-0.00038194962,0.62218127,0.00051888167,0.00063952546,-1361.754,5.9279089,-1346.155,5.8160739,-0.50207427,-0.12488685,-0.0086355571,65.518364,-34.154522,79.852349,-20.514667
-2,-0.10563823,79.985654,-0.01139798,-0.79774807,-0.00086639094,0.84437229,0.00082582265,0.0010088506,-1552.9704,11.735628,-1508.1371,11.387448,-0.57136715,-0.14076134,-0.0059993119,97.543891,-36.335022,115.72901,-19.531284
-2,-0.14344116,79.983882,-0.021058796,-1.1389563,-0.001589924,1.0665593,0.0010556592,0.0013086334,-1681.1768,18.450022,-1599.9347,17.535336,-0.61593209,-0.15037583,-0.0041081605,119.70029,-37.965552,141.17294,-18.72031
-2,-0.17891215,79.982673,-0.034239804,-1.4998866,-0.002564714,1.288744,0.0011988411,0.001517026,-1758.9201,24.901529,-1638.4995,23.091056,-0.6411916,-0.15521042,-0.0028935026,133.5841,-39.152672,157.36005,-18.098026
-2,-0.21055008,79.981807,-0.051088413,-1.8713739,-0.0037940897,1.5109275,0.0012601062,0.0016495662,-1806.4473,29.892101,-1647.2585,27.081906,-0.65375064,-0.1573917,-0.0022582262,139.88624,-39.974896,166.78975,-17.628728
-2,-0.23752465,79.98111,-0.071677882,-2.2472963,-0.005276102,1.7331099,0.0012643697,0.001717288,-1832.463,32.359226,-1637.3619,28.790173,-0.65701535,-0.15792624,-0.0020501409,141.00006,-40.498517,170.82485,-17.275904
-2,-0.25935102,79.98046,-0.096027952,-2.622985,-0.0070058215,1.955291,0.0012332541,0.00173506,-1842.8055,31.477757,-1616.3158,27.73903,-0.65327473,-0.15749678,-0.0021365816,138.81317,-40.763516,170.89313,-17.019602
-2,-0.27580555,79.979773,-0.12411745,-2.9948803,-0.0089767467,2.1774704,0.0011796799,0.0017215004,-1842.1754,26.709274,-1589.6114,23.652539,-0.64408983,-0.15661652,-0.0024112245,134.33626,-40.810901,168.64725,-16.845709
-2,-0.28685986,79.978998,-0.15589412,-3.3602799,-0.011181806,2.3996474,0.0011148802,0.0016888837,-1834.4178,17.808201,-1561.0672,16.414598,-0.63079635,-0.15565938,-0.0027923726,128.54333,-40.671893,165.08099,-16.742109
-2,-0.29262744,79.978108,-0.1912824,-3.7171875,-0.01361405,2.621821,0.0010483976,0.001644443,-1822.6501,4.9027319,-1533.236,6.0406959,-0.61459928,-0.15488288,-0.0032219769,122.36694,-40.444023,160.71364,-16.683939
-2,-0.29331943,79.977084,-0.23018989,-4.0641905,-0.016267098,2.8439904,0.00098542133,0.0015952841,-1809.3669,-11.853527,-1507.7491,-7.3148538,-0.59633137,-0.15446499,-0.0036826667,116.34665,-40.612572,156.08451,-16.749424
-2,-0.28922586,79.975924,-0.27251193,-4.4001987,-0.019135409,3.0661547,0.00092732891,0.0015481425,-1796.4947,-33.081425,-1485.5825,-23.620026,-0.57634187,-0.15456804,-0.0041061981,110.63387,-40.433806,151.73063,-16.801308
-2,-0.28067727,79.974638,-0.31813428,-4.724371,-0.02221443,3.2883129,0.00087616286,0.0015055783,-1784.0327,-58.21916,-1466.8398,-42.58263,-0.55501369,-0.15515755,-0.0044835705,105.47709,-40.063922,147.80953,-16.891685
-2,-0.26801195,79.973236,-0.36693538,-5.0360905,-0.025500549,3.5104642,0.00083342836,0.0014682972,-1774.405,-86.836542,-1451.6715,-63.95704,-0.5330169,-0.15632131,-0.0048203094,101.08641,-39.769651,144.32013,-17.028413
-2,-0.25161176,79.971729,-0.41878944,-5.3351072,-0.028991151,3.7326076,0.00079859632,0.0014382844,-1768.2583,-118.63251,-1440.8056,-87.478247,-0.51072516,-0.15809661,-0.0051086458,97.436749,-39.51501,141.43459,-17.192223
-2,-0.23185653,79.970128,-0.47356898,-5.6212954,-0.032684651,3.9547426,0.00077055029,0.0014168008,-1765.6853,-153.28028,-1433.965,-112.86373,-0.48825821,-0.16044643,-0.0053468281,94.424372,-39.276528,139.25757,-17.375612
-2,-0.2091131,79.968444,-0.53114569,-5.8946117,-0.036580409,4.1768682,0.00074973678,0.0014024644,-1766.6043,-190.43632,-1430.7883,-139.82344,-0.46579377,-0.1633205,-0.005535911,92.132778,-39.049828,137.64317,-17.573631
-2,-0.18373107,79.966689,-0.59139121,-6.1550861,-0.04067863,4.398984,0.00073583554,0.0013948442,-1770.8507,-229.75757,-1430.8951,-168.06822,-0.44345305,-0.16666403,-0.0056785737,90.547779,-38.83656,136.54372,-17.781794
-2,-0.15603666,79.964872,-0.65417784,-6.4028516,-0.044980257,4.6210892,0.00072746337,0.0013944977,-1778.2364,-270.33743,-1433.9115,-197.01621,-0.42157544,-0.17038171,-0.0057789068,89.519422,-38.640557,136.01006,-17.994455
-2,-0.12632034,79.963002,-0.71938046,-6.6382495,-0.049486851,4.8431834,0.00072416989,0.0014005907,-1788.538,-312.13209,-1439.4641,-226.35441,-0.40017675,-0.17442902,-0.0058412124,89.008886,-38.465126,135.95936,-18.20662
-2,-0.094865965,79.961086,-0.78687668,-6.8614851,-0.054200494,5.0652661,0.00072554369,0.0014123876,-1801.5151,-355.13832,-1447.2026,-256.18365,-0.37912751,-0.17878274,-0.0058695879,88.978831,-38.305195,136.32052,-18.419171
-2,-0.061933376,79.95913,-0.85654602,-7.0727379,-0.059123716,5.2873369,0.00073105831,0.0014295864,-1816.9762,-399.10198,-1455.845,-286.28526,-0.35834127,-0.18335251,-0.0058673525,89.373122,-38.159826,137.05431,-18.631439
