delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0094900761,99.99556,0.00016614662,0.063528297,1.253957e-05,0.22221883,-5.7573013e-05,-9.1695209e-05,709.29482,-0.22833971,700.42855,-0.23402607,0.25951267,0.065153416,-0.019412388,-8.9623911,-20.23994,-14.090562,-24.130634
2,0.038676175,99.989173,0.0017500631,0.27216489,0.00013308738,0.4999781,0.00039745364,0.00033056365,1215.4087,-2.142827,1213.2256,-2.1760668,0.44911185,0.11225618,-0.015754123,51.811386,-22.539177,42.993814,-32.860185
2,0.075891028,99.984436,0.005874478,0.56349913,0.00044695092,0.77772461,0.00098410469,0.00083754607,1488.7906,-6.1621528,1509.5335,-6.2779933,0.55685156,0.13836275,-0.01105112,115.56443,-21.869281,99.714729,-36.808912
2,0.11451764,99.98118,0.013172762,0.90260063,0.0009984527,1.0554632,0.0015049174,0.00128893,1633.4451,-11.402363,1689.2635,-11.771139,0.62061829,0.15295315,-0.0073506994,162.07549,-21.098597,143.59913,-39.375832
2,0.15074075,99.97907,0.024013134,1.269018,0.001809237,1.3331976,0.0019096705,0.0016123838,1695.7309,-16.496597,1792.8548,-17.401487,0.6550026,0.16017766,-0.0046622147,195.2937,-20.478317,174.47294,-41.225102
2,0.18236629,99.977741,0.038597877,1.6499529,0.0028871399,1.6109302,0.0021874923,0.0017959526,1715.909,-20.176849,1856.4323,-21.790018,0.67234776,0.16369611,-0.0029982192,216.44585,-19.992076,192.52859,-42.533585
2,0.20819136,99.976869,0.05702859,2.0372427,0.0042322566,1.8886623,0.0023510556,0.0018676903,1710.1457,-21.525319,1892.6149,-23.682886,0.67776201,0.16494858,-0.0021676587,227.65825,-19.612419,200.58168,-43.398957
2,0.22755402,99.976201,0.079338037,2.42514,0.0058402771,2.1663942,0.002421273,0.0018636546,1689.8104,-19.962304,1910.3861,-22.088761,0.67497842,0.16495772,-0.0019585294,231.12479,-19.313278,201.72674,-43.884794
2,0.24017193,99.975553,0.10551043,2.8095896,0.0077046554,2.4441257,0.0024301894,0.0018078398,1662.7473,-15.178922,1916.3035,-16.373509,0.66618352,0.16444078,-0.0021780436,229.75788,-19.072699,197.77582,-44.039573
2,0.24602473,99.974802,0.13549575,3.1877219,0.0098180656,2.7218558,0.0023992708,0.0017226632,1634.0536,-7.0777461,1915.0985,-6.3474566,0.65316179,0.16387039,-0.0026688502,225.34804,-18.8703,190.60119,-43.964521
2,0.24526478,99.973872,0.16922018,3.5575678,0.012173333,2.9995834,0.0023422176,0.0016278617,1606.8708,4.2446021,1910.1937,7.8994162,0.63739647,0.16354521,-0.0033247034,218.96349,-18.773576,182.05861,-44.083414
2,0.23816407,99.972718,0.20659349,3.9177422,0.014764008,3.2773075,0.0022742907,0.0015336529,1583.0609,18.788123,1904.1952,26.847371,0.61955352,0.16369732,-0.0040340582,211.84613,-18.712293,173.16072,-44.110143
2,0.22507839,99.971331,0.24751355,4.2672485,0.017584707,3.5550265,0.0022066741,0.0014449182,1563.6004,36.290174,1899.0832,50.257915,0.60028836,0.16444184,-0.0047175071,204.88947,-18.641093,164.44275,-43.735945
2,0.20640285,99.969717,0.29187041,4.6054632,0.020631246,3.8327394,0.0021440167,0.001366309,1548.8158,56.486655,1896.16,77.619636,0.5801722,0.16581889,-0.0053562245,198.42417,-18.627106,156.47833,-43.391213
2,0.18255184,99.96789,0.3395492,4.9319974,0.02390065,4.1104447,0.00208953,0.001300415,1538.6676,79.114397,1896.1968,108.63487,0.55956639,0.16783685,-0.0059259699,192.68009,-18.655793,149.62851,-43.120272
2,0.15394507,99.965868,0.39043204,5.2466123,0.027391109,4.3881414,0.0020470955,0.0012465845,1532.9343,103.89433,1899.6102,143.01083,0.53861775,0.17047833,-0.0064124162,187.96533,-18.716748,143.87826,-42.885844
2,0.12099683,99.963674,0.44439924,5.5491663,0.031101884,4.6658284,0.0020174451,0.0012045236,1531.2608,130.54083,1906.5229,180.43184,0.51747567,0.17370435,-0.0068108449,184.31224,-18.804022,139.24332,-42.669899
2,0.084108472,99.961331,0.50133012,5.8395932,0.035033206,4.9435046,0.0019996973,0.0011744148,1533.2259,158.76932,1916.8494,220.57592,0.49629407,0.17746288,-0.0071218632,181.61731,-18.912748,135.78505,-42.46933
2,0.043662889,99.958861,0.5611037,6.1179005,0.039186164,5.2211692,0.0019941315,0.0011550789,1538.4128,188.18316,1930.429,262.73597,0.47530063,0.18167568,-0.007350131,179.88698,-19.037748,133.39716,-42.287174
2,6.5876425e-06,99.956283,0.62360013,6.3843246,0.043562577,5.4988214,0.002000438,0.0011451498,1546.4174,218.09155,1947.0733,306.49088,0.45472145,0.18626325,-0.0075029874,179.07586,-19.171466,131.94424,-42.131076
2,-0.046524052,99.953616,0.68870174,6.6390013,0.048164882,5.7764606,0.0020172835,0.0011439205,1556.855,248.78752,1966.5679,352.05816,0.43429649,0.19122087,-0.0075882605,179.0502,-19.31396,131.36167,-41.996301
2,-0.095605519,99.950873,0.75629185,6.8820309,0.052996055,6.0540861,0.0020437495,0.0011504652,1569.3778,280.05186,1988.7014,399.19794,0.41407309,0.19650084,-0.0076140043,179.71606,-19.463054,131.555,-41.881288
